Quarter,Time,Down,ToGo,Location,Team,Detail,Type,DET,SDG,EPB,EPA,Play EPA,Win%,21,35,85,10,81,16,25,87,15
1,15:00,,,SDG 35,SD,Josh Lambo kicks off 65 yards touchback,Kick,0,0,0,-0.28,0.28,56.6,,,,,,,,,
1,15:00,1,10,DET 20,DET,Joique Bell left tackle for 1 yard (tackle by Corey Liuget and Kyle Emanuel),Run,0,0,0.28,-0.13,0.41,57.7,,,,,,,,,
1,14:25,2,9,DET 21,DET,Matthew Stafford pass complete short right to Golden Tate for 11 yards (tackle by Brandon Flowers),Pass,0,0,-0.13,1.07,-1.2,54.2,NA,NA,NA,NA,NA,NA,NA,NA,Screen
1,13:49,1,10,DET 32,DET,Joique Bell middle for 7 yards (tackle by Jahleel Addae and Manti Te'o),Run,0,0,1.07,1.47,-0.4,52.9,,,,,,,,,
1,13:11,2,3,DET 39,DET,Matthew Stafford pass complete short right to Ameer Abdullah for no gain,Pass,0,0,1.47,0.76,0.71,55,Flat,NA,ComeBack,Post,Fade,NA,NA,NA,Slant
1,12:26,3,3,DET 39,DET,Matthew Stafford pass complete short middle to Calvin Johnson for 28 yards (tackle by Jahleel Addae),Pass,0,0,0.76,3.38,-2.62,47,NA,NA,Fade,NA,Slant,Fade,NA,NA,Fade
1,11:43,1,10,SDG 33,DET,Matthew Stafford pass incomplete deep left intended for Lance Moore,Pass,0,0,3.38,2.84,0.54,48.5,Wheel,NA,NA,Dig,NA,Post,NA,Out,NA
1,11:39,2,10,SDG 33,DET,Matthew Stafford pass complete short right to Joique Bell for 9 yards (tackle by Eric Weddle),Pass,0,0,2.84,3.34,-0.5,47,NA,Screen,NA,NA,NA,NA,NA,NA,NA
1,10:53,3,1,SDG 24,DET,Ameer Abdullah middle for 24 yards touchdown,Run,6,0,3.34,7,-3.66,38.9,,,,,,,,,
1,10:53,,,SDG 24,DET,Matt Prater kicks extra point good,Kick,7,0,0,0,0,36,,,,,,,,,
1,10:53,,,DET 35,DET,Sam Martin kicks off 70 yards returned by Jacoby Jones for 24 yards (tackle by Don Carey),Kick,7,0,0,-0.15,0.15,36.4,,,,,,,,,
1,10:41,1,10,SDG 19,SD,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Rashean Mathis),Pass,7,0,0.15,0.34,-0.19,36.9,,,,,,,,,
1,10:06,2,5,SDG 24,SD,Melvin Gordon middle for -2 yards (tackle by Ezekiel Ansah),Run,7,0,0.34,-0.68,1.02,33.8,,,,,,,,,
1,9:23,3,7,SDG 22,SD,Philip Rivers sacked by Phillip Hunt for -7 yards,Pass,7,0,-0.68,-2.44,1.76,28.8,,,,,,,,,
1,8:42,4,14,SDG 15,SD,Mike Scifres punts 58 yards returned by Golden Tate for 20 yards (tackle by Ladarius Green),Punt,7,0,-2.44,-2.06,-0.38,29.6,,,,,,,,,
1,8:28,1,10,DET 47,DET,Matthew Stafford pass incomplete short left intended for Calvin Johnson,Pass,7,0,2.06,1.52,0.54,31,NA,Out,NA,NA,Out,NA,NA,NA,Fade
1,8:23,2,10,DET 47,DET,Zach Zenner left tackle for 4 yards (tackle by Donald Butler and Kendall Reyes),Run,7,0,1.52,1.36,0.16,31.4,,,,,,,,,
1,7:38,3,6,SDG 49,DET,Matthew Stafford pass incomplete short left intended for Eric Ebron,Pass,7,0,1.36,0,1.36,35.2,NA,NA,Out,NA,Dig,NA,NA,Dig,Fade
1,7:33,4,6,SDG 49,DET,Sam Martin punts 36 yards fair catch by Jacoby Jones,Punt,7,0,0,0.32,-0.32,34.2,,,,,,,,,
1,7:24,1,10,SDG 13,SD,Philip Rivers pass complete short left to Melvin Gordon for 9 yards (tackle by Stephen Tulloch),Pass,7,0,-0.32,0.49,-0.81,36.5,,,,,,,,,
1,6:58,2,1,SDG 22,SD,Melvin Gordon middle for 5 yards (tackle by Tyrunn Walker and Haloti Ngata),Run,7,0,0.49,0.74,-0.25,37.2,,,,,,,,,
1,6:17,1,10,SDG 27,SD,Melvin Gordon left end for -2 yards (tackle by Jason Jones),Run,7,0,0.74,-0.07,0.81,34.6,,,,,,,,,
1,5:48,2,12,SDG 25,SD,Danny Woodhead middle for 10 yards (tackle by Josh Wilson and Josh Bynes),Run,7,0,-0.07,0.56,-0.63,36.4,,,,,,,,,
1,5:06,3,2,SDG 35,SD,Philip Rivers pass complete short middle to Steve Johnson for 6 yards (tackle by Stephen Tulloch),Pass,7,0,0.56,1.66,-1.1,39.6,,,,,,,,,
1,4:28,1,10,SDG 41,SD,Philip Rivers pass complete short right to Melvin Gordon for 2 yards (tackle by Darryl Tapp),Pass,7,0,1.66,1.39,0.27,38.6,,,,,,,,,
1,3:51,2,8,SDG 43,SD,Melvin Gordon middle for 14 yards (tackle by Josh Wilson and Glover Quin),Run,7,0,1.39,2.72,-1.33,42.7,,,,,,,,,
1,3:06,1,10,DET 43,SD,Danny Woodhead right tackle for no gain (tackle by Josh Bynes),Run,7,0,2.72,2.18,0.54,40.8,,,,,,,,,
1,2:27,2,10,DET 43,SD,Philip Rivers pass complete short right to Keenan Allen for 21 yards (tackle by Darius Slay and Josh Wilson),Pass,7,0,2.18,4.11,-1.93,47,,,,,,,,,
